algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
gmm_rs_shrunk,iris,150,3,4,8,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.4658657996555826,0.040964333
gmm_rs_shrunk,iris,150,3,4,9,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.4658044453077754,0.053401208
gmm_rs_shrunk,iris,150,3,4,10,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.466326466673936,0.046982666
gmm_hg_shrunk,iris,150,3,4,1,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.4669482234742874,0.083767
gmm_hg_shrunk,iris,150,3,4,2,0.9038742317748124,0.8996935451597472,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597473,3.4668775114217607,0.084773
gmm_hg_shrunk,iris,150,3,4,3,0.9038742317748124,0.8996935451597472,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597473,3.4669504098741513,0.083978542
gmm_hg_shrunk,iris,150,3,4,4,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.4670262730463506,0.080270708
gmm_hg_shrunk,iris,150,3,4,5,0.9038742317748124,0.8996935451597472,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597473,3.4669755025732956,0.084058291
gmm_hg_shrunk,iris,150,3,4,6,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.467027852559944,0.089173708
gmm_hg_shrunk,iris,150,3,4,7,0.9038742317748124,0.8996935451597472,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597473,3.4670849541524196,0.087563542
gmm_hg_shrunk,iris,150,3,4,8,0.9038742317748124,0.8996935451597472,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597473,3.467143862234061,0.090455208
gmm_hg_shrunk,iris,150,3,4,9,0.9038742317748124,0.8996935451597469,0,0,0,0,0,0.042505592841163314,0.9149888143176734,0.22006089349187008,0.8996935451597468,3.4669825470160593,0.0870985
gmm_hg_shrunk,iris,150,3,4,10,0.8857921001989628,0.8705214181790611,0,0,0,0,0,0.05046979865771812,0.8990604026845638,0.284217005848484,0.8705214181790613,3.4669244600323252,0.082350333
kmeans,wines,178,3,13,1,0.8368448733145885,0.8154937542710348,0,2,2,0,0,0.07262108804672127,0.8547578239065575,0.4027945777673058,0.8154937542710344,48.970291155139165,6.5083e-5
kmeans,wines,178,3,13,2,0.8685425493202144,0.8529287764511979,0,2,2,0,0,0.05852853424744493,0.8829429315051102,0.3209840880298707,0.8529287764511979,48.954035819626654,6.2542e-5
kmeans,wines,178,3,13,3,0.8470966807514034,0.8346588494891207,0,2,2,0,0,0.0681774900019044,0.8636450199961913,0.3603431131041192,0.8346588494891205,48.98541496004462,4.2292e-5
kmeans,wines,178,3,13,4,0.8470966807514034,0.8346588494891207,0,2,2,0,0,0.0681774900019044,0.8636450199961913,0.3603431131041192,0.8346588494891205,48.98541496004462,7.4084e-5
kmeans,wines,178,3,13,5,0.8470966807514034,0.8346588494891207,0,2,2,0,0,0.0681774900019044,0.8636450199961913,0.3603431131041192,0.8346588494891205,48.98541496004462,6.2708e-5
kmeans,wines,178,3,13,6,0.8368448733145885,0.8154937542710348,0,2,2,0,0,0.07262108804672127,0.8547578239065575,0.4027945777673058,0.8154937542710344,48.970291155139165,4.0791e-5
kmeans,wines,178,3,13,7,0.8482869997972662,0.8329952234526564,0,2,2,0,0,0.0676061702532851,0.8647876594934298,0.36417999084873376,0.8329952234526565,49.0011189976716,2.6333e-5
kmeans,wines,178,3,13,8,0.8470966807514034,0.8346588494891207,0,2,2,0,0,0.0681774900019044,0.8636450199961913,0.3603431131041192,0.8346588494891205,48.98541496004462,5.1666e-5
