algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
kmeans_hg,fashion_mnist,10000,10,784,1,0.34305129396235917,0.5088256635258985,2,9,9,2,2,0.12784530453045304,0.7443093909390939,2.2126568583904964,0.5088256635258984,2.5333484048391934e6,476.405937718
kmeans_hg,fashion_mnist,10000,10,784,2,0.3429935563427481,0.5088109067548635,2,9,9,2,2,0.12786788678867886,0.7442642264226422,2.2126943926638343,0.5088109067548634,2.533346284529936e6,500.888010415
kmeans_hg,fashion_mnist,10000,10,784,3,0.3427656828084806,0.5086522925799504,2,9,9,2,2,0.1279088908890889,0.7441822182218222,2.2134204891337474,0.5086522925799503,2.5333473335340344e6,462.308033185
kmeans_hg,fashion_mnist,10000,10,784,4,0.34317312799486277,0.5090149977734965,2,9,9,2,2,0.1278992099209921,0.7442015801580159,2.2114216420820334,0.5090149977734965,2.533349302395978e6,479.671308454
kmeans_hg,fashion_mnist,10000,10,784,5,0.3428024697269699,0.5087799271252367,2,9,9,2,2,0.1280041404140414,0.7439917191719172,2.212332805452964,0.5087799271252365,2.5333501158562894e6,462.424072022
kmeans_hg,fashion_mnist,10000,10,784,6,0.34305022604355645,0.5087916253886603,2,9,9,2,2,0.12784760476047605,0.7443047904790479,2.2128208589360128,0.5087916253886603,2.5333488242645254e6,454.65734374
kmeans_hg,fashion_mnist,10000,10,784,7,0.3432234341304581,0.5089139951471914,2,9,9,2,2,0.12781028102810282,0.7443794379437944,2.2122841588675866,0.5089139951471913,2.533347444878636e6,488.015891556
kmeans_hg,fashion_mnist,10000,10,784,8,0.34284164399257083,0.5087199376151776,2,9,9,2,2,0.1279061506150615,0.744187698769877,2.213056353137393,0.5087199376151776,2.5333474356204905e6,482.06485947
kmeans_hg,fashion_mnist,10000,10,784,9,0.34304920818502166,0.5090374603598175,2,9,9,2,2,0.12795655565556555,0.7440868886888689,2.2111911385894825,0.5090374603598173,2.533349247029786e6,433.948793431
kmeans_hg,fashion_mnist,10000,10,784,10,0.3427656828084806,0.5086522925799497,2,9,9,2,2,0.1279088908890889,0.7441822182218222,2.2134204891337474,0.5086522925799496,2.5333473335340344e6,485.567302389
gmm,fashion_mnist,10000,10,784,1,0.2917855798805127,0.47860356448498886,3,9,9,9,9,0.16966488648864886,0.6606702270227023,2.23643185485403,0.47860356448498886,1163.7238068521747,60.886126547
gmm,fashion_mnist,10000,10,784,2,0.2685876636636885,0.4488534764900189,4,9,9,9,9,0.1575010301030103,0.6849979397939794,2.4021807882828266,0.4488534764900188,1329.824025984357,35.516082968
gmm,fashion_mnist,10000,10,784,3,0.28909110545671385,0.4620196929055076,4,9,9,9,9,0.1535067706770677,0.6929864586458646,2.333793395448859,0.46201969290550754,1330.0971135836535,73.276683113
gmm,fashion_mnist,10000,10,784,4,0.3200107103808289,0.4989849064802243,4,9,9,9,9,0.1510997699769977,0.6978004600460046,2.1726554461473433,0.4989849064802243,1403.3687296441421,47.259758606
gmm,fashion_mnist,10000,10,784,5,0.21182388631664828,0.43589994203327975,4,9,9,9,9,0.25137905790579057,0.49724188418841886,2.2194114325922203,0.43589994203327964,852.3548600375897,60.481936553
gmm,fashion_mnist,10000,10,784,6,0.31527177027054104,0.45897184263201596,4,9,9,9,9,0.1422075607560756,0.7155848784878488,2.3769758159148124,0.4589718426320158,1216.0426214248448,226.208649709
gmm,fashion_mnist,10000,10,784,7,0.3031354164818419,0.4545174564397417,2,9,9,9,9,0.15658293829382938,0.6868341234123412,2.356479349591423,0.4545174564397416,1229.7014306992246,38.487104971
gmm,fashion_mnist,10000,10,784,8,0.20052685373435983,0.39955701698455337,4,9,9,9,9,0.22863172317231722,0.5427365536553656,2.4281731903291153,0.39955701698455337,1274.746363532444,32.52240231
gmm,fashion_mnist,10000,10,784,9,0.2562958634440205,0.4210299514600686,6,9,9,9,9,0.19051965196519652,0.6189606960696069,2.3683914867181506,0.42102995146006855,946.4133123089355,26.550862716
gmm,fashion_mnist,10000,10,784,10,0.27012313821669914,0.4495189057584759,3,9,9,9,9,0.17276037603760375,0.6544792479247925,2.3469311527101038,0.44951890575847586,1207.1261586952462,26.169184737
